area_ha,count,defo_m2,farm_id,label,total_m2,defo_pct
7.29,729,0.0,431,1,71563.46095263914,0.0
0.57,57,0.0,432,1,5593.541244716272,0.0
4.36,436,0.0,433,1,42808.98194041532,0.0
0.71,71,0.0,434,1,6969.07670811672,0.0
1.36,136,0.0,435,1,13355.77412336761,0.0
7.05,705,0.0,436,1,69222.38039900834,0.0
0.7,70,0.0,437,1,6870.462797247197,0.0
0.5,50,0.0,438,1,4906.441722017176,0.0
12.47,1247,0.0,439,1,122416.41543333762,0.0
0.92,92,0.0,440,1,9021.194243995815,0.0
1.21,121,0.0,441,1,11870.169428537409,0.0
39.35,3935,0.0,442,1,386352.7039599848,0.0
0.78,78,0.0,443,1,7652.415613899977,0.0
0.74,74,0.0,444,1,7260.244356970696,0.0
1.34,134,0.0,445,1,13158.912818609502,0.0
0.67,67,0.0,446,1,6570.558838758284,0.0
1.27,127,0.0,447,1,12455.483486968396,0.0
2.8,280,0.0,448,1,27487.11009703994,0.0
2.32,232,0.0,449,1,22765.44692248177,0.0
1.16,116,0.0,450,1,11391.751104347371,0.0
2.3,230,0.0,451,1,22566.216472550932,0.0
0.87,87,0.0,452,1,8538.907044115253,0.0
8.86,886,0.0,453,1,86925.27835451007,0.0
1.26,126,0.0,454,1,12360.797174820242,0.0
1.48,148,0.0,455,1,14526.93705833285,0.0
0.68,68,0.0,456,1,6670.860730937882,0.0
4.73,473,0.0,457,1,46429.58296260459,0.0
1.87,187,0.0,458,1,18364.70536840103,0.0
2.61,261,0.0,459,1,25632.147507970483,0.0
1.01,101,0.0,460,1,9914.649036332677,0.0
0.84,84,0.0,461,1,8245.868049890854,0.0
1.8,180,0.0,462,1,17653.87404303458,0.0
2.87,287,0.0,463,1,28174.92017146095,0.0
0.82,82,0.0,464,1,8042.723902623795,0.0
0.57,57,0.0,465,1,5595.397358554018,0.0
0.5,50,0.0,466,1,4902.489911726409,0.0
1.59,159,0.0,467,1,15610.552479583146,0.0
0.6,60,0.0,468,1,5879.235723517923,0.0
2.94,294,0.0,469,1,28879.1347099753,0.0
2.68,268,0.0,470,1,26321.893190032377,0.0
0.71,71,0.0,471,1,6974.768580896713,0.0
1.35,135,0.0,472,1,13254.044323221831,0.0
0.66,66,0.0,473,1,6478.991998590206,0.0
0.57,57,0.0,474,1,5592.915597234988,0.0
1.14,114,0.0,475,1,11185.968951954563,0.0
1.28,128,0.0,476,1,12564.592903167128,0.0
0.6,60,0.0,477,1,5886.988385009768,0.0
0.55,55,0.0,478,1,5398.110829940498,0.0
0.65,65,0.0,479,1,6370.303373927698,0.0
1.78,178,0.0,480,1,17464.48769462436,0.0
0.8,80,0.0,481,1,7850.914796298161,0.0
0.51,51,0.0,482,1,5000.38668123133,0.0
3.94,394,0.0,483,1,38678.63084181243,0.0
0.88,88,0.0,484,1,8623.982376098635,0.0
0.82,82,0.0,485,1,8042.893195926444,0.0
0.8,80,0.0,486,1,7841.7861534567455,0.0
1.74,174,0.0,487,1,17083.496895374978,0.0
0.63,63,0.0,488,1,6175.487261723537,0.0
1.36,136,0.0,489,1,13341.067988347077,0.0
2.32,232,2028.565554719813,490,1,22784.872612089264,8.903
2.38,238,0.0,491,1,23371.157700632146,0.0
1.33,133,0.0,492,1,13050.366842771042,0.0
2.82,282,0.0,493,1,27684.21181933833,0.0
1.23,123,0.0,494,1,12071.011048440374,0.0
11.56,1156,0.0,495,1,113500.57007799327,0.0
1.89,189,0.0,496,1,18541.29780455944,0.0
1.87,187,0.0,497,1,18355.488229579554,0.0
